,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue id,Venue Latitude,Venue Longitude,Venue Category,likes
0,Buritis,-19.9765791,-43.9674165,Dog's Shop,4dcc3ac452b19dd12dcd0670,-19.97430865584377,-43.96768813152708,Pet Store,34.0
1,Buritis,-19.9765791,-43.9674165,Plut Pet Zoo Pet Shop,4d974b0161a3a1cd750ab142,-19.97679560611968,-43.96897708668116,Pet Store,8.0
2,Pindorama,-19.9227318,-43.9450948,Aquario Show,4f3eaf11e4b0f45920360b15,-19.9248165036832,-43.94243311450643,Pet Store,7.0
3,Pindorama,-19.9227318,-43.9450948,Aquario Show,4f3eaf11e4b0f45920360b15,-19.9248165036832,-43.94243311450643,Pet Store,7.0
4,Gutierrez,-19.934260100000003,-43.9571571,Bom Garoto! Pet Shop,4ff5d7c2e4b04619c6c7f9e7,-19.93178514939217,-43.96115070373991,Pet Store,18.0
5,Gutierrez,-19.934260100000003,-43.9571571,Bom Garoto! Pet Shop,4ff5d7c2e4b04619c6c7f9e7,-19.93178514939217,-43.96115070373991,Pet Store,18.0
6,Gutierrez,-19.934260100000003,-43.9571571,Animalle Mundo Pet,4ffb74d1e4b064f1d3709f81,-19.93043394321413,-43.95693577523799,Pet Store,93.0
7,Savassi,-19.937246,-43.93558170000001,Clínica Veterinária Prof. Israel,4d4c450b190ba093b3091fa5,-19.940593228093828,-43.93688310244381,Pet Store,24.0
8,Savassi,-19.937246,-43.93558170000001,Clínica Veterinária Prof. Israel,4d4c450b190ba093b3091fa5,-19.940593228093828,-43.93688310244381,Pet Store,24.0
9,Floramar,-19.8364163,-43.933212,Big Pets,507c100be4b047ff2d40eb21,-19.83313589479767,-43.93618428265375,Pet Store,5.0
10,Cachoeirinha,-19.8902003,-43.94745560000001,Boa Safra Veterinária,5693dc63498ef54850ec3a3d,-19.887872633681397,-43.950679763411856,Pet Store,0.0
11,Manacás,-19.895554500000006,-43.9959711,Castelo dos Bichos,4ee8d7d177c83054d92a8ee8,-19.89258411940027,-43.99730204011148,Pet Store,0.0
12,Vila Barragem Santa Lúcia,-19.9548313,-43.94379529962086,Dog's Shop,4c419198ff711b8de01c1205,-19.953695874457,-43.93932812316918,Pet Store,24.0
13,Vila Barragem Santa Lúcia,-19.9548313,-43.94379529962086,Dog's Shop,4c419198ff711b8de01c1205,-19.953695874457,-43.93932812316918,Pet Store,24.0
14,Vila Barragem Santa Lúcia,-19.9548313,-43.94379529962086,Pet Zoo,4dd10d0f7d8b975f190c1728,-19.95776768695421,-43.941032331414185,Pet Store,19.0
15,Santa Lúcia,-19.965589399999995,-43.9468096,Universo Animal,4ea2a0e729c2abc8dedc0ba4,-19.96136046065727,-43.94647046946703,Pet Store,1.0
16,Apolônia,-19.8275858,-43.9912897,Portal Pet Agro Atacado e Varejo,587520d83bd4ab73feda45b0,-19.824703,-43.99452,Pet Store,1.0
17,São Pedro,-19.9435977,-43.93702,Clínica Veterinária Prof. Israel,4d4c450b190ba093b3091fa5,-19.940593228093828,-43.93688310244381,Pet Store,24.0
18,São Pedro,-19.9435977,-43.93702,Clínica Veterinária Prof. Israel,4d4c450b190ba093b3091fa5,-19.940593228093828,-43.93688310244381,Pet Store,24.0
19,Nova Granada (ZS),-19.9413172,-43.96908970000001,Cão Carinho,4c6fcefbb3ce224b59c471c6,-19.94008871625736,-43.967322860218545,Pet Store,15.0
20,Nova Granada (ZS),-19.9413172,-43.96908970000001,Cão Carinho,4c6fcefbb3ce224b59c471c6,-19.94008871625736,-43.967322860218545,Pet Store,15.0
21,Nova Granada (ZO),-19.9413172,-43.96908970000001,Cão Carinho,4c6fcefbb3ce224b59c471c6,-19.94008871625736,-43.967322860218545,Pet Store,15.0
22,Nova Granada (ZO),-19.9413172,-43.96908970000001,Cão Carinho,4c6fcefbb3ce224b59c471c6,-19.94008871625736,-43.967322860218545,Pet Store,15.0
23,Coração de Jesus,-19.9458741,-43.95122862577085,Quatro Patas Clínica Veterinária,4bfd10e3e529c928ca4dba8c,-19.944057016647395,-43.95001975723131,Pet Store,20.0
24,Palmares (ZL),-19.8728564,-43.9300001,Mundo Pet - Pet Shop,4cb9ca53d78f4688057eb873,-19.872144634054056,-43.931652295195825,Pet Store,9.0
25,Palmares (ZL),-19.8728564,-43.9300001,Mundo Pet - Pet Shop,4cb9ca53d78f4688057eb873,-19.872144634054056,-43.931652295195825,Pet Store,9.0
26,Palmares (ZN),-19.8728564,-43.9300001,Mundo Pet - Pet Shop,4cb9ca53d78f4688057eb873,-19.872144634054056,-43.931652295195825,Pet Store,9.0
